Date,Cases,Cummulative cases,Death,Cummulative death
2/26/2020,1,1,0,0
2/27/2020,0,1,0,0
2/28/2020,0,1,0,0
2/29/2020,0,1,0,0
3/1/2020,1,2,0,0
3/2/2020,0,2,0,0
3/3/2020,0,2,0,0
3/4/2020,1,3,0,0
3/5/2020,4,7,0,0
3/6/2020,1,8,0,0
3/7/2020,11,19,0,0
3/8/2020,0,19,0,0
3/9/2020,6,25,0,0
3/10/2020,0,25,0,0
3/11/2020,9,34,0,0
3/12/2020,18,52,0,0
3/13/2020,46,98,0,0
3/14/2020,23,121,0,0
3/15/2020,0,121,0,0
3/16/2020,79,200,0,0
3/17/2020,34,234,0,0
3/18/2020,57,291,1,1
3/19/2020,137,428,3,4
3/20/2020,193,621,0,4
3/21/2020,283,904,7,11
3/22/2020,0,904,0,11
3/23/2020,0,904,0,11
3/24/2020,1297,2201,35,46
3/25/2020,0,2201,0,46
3/26/2020,232,2433,11,57
3/27/2020,0,2433,0,57
3/28/2020,482,2915,20,77
3/29/2020,502,3417,15,92
3/30/2020,487,3904,22,114
3/31/2020,352,4256,22,136
4/1/2020,323,4579,23,159
4/2/2020,1138,5717,42,201
4/3/2020,1119,6836,40,241
4/4/2020,1074,7910,58,299
4/5/2020,1146,9056,60,359
4/6/2020,1222,10278,73,432
4/7/2020,852,11130,54,486
4/8/2020,926,12056,67,553
4/9/2020,1661,13717,114,667
4/10/2020,2210,15927,133,800
4/11/2020,1930,17857,141,941
4/12/2020,1781,19638,115,1056
4/13/2020,1089,20727,68,1124
4/14/2020,1442,22169,99,1223
4/15/2020,1261,23430,105,1328
4/16/2020,1832,25262,204,1532
4/17/2020,3058,28320,204,1736
4/18/2020,2105,30425,188,1924
4/19/2020,3257,33682,217,2141
4/20/2020,2917,36599,206,2347
4/21/2020,2055,38654,115,2462
4/22/2020,1927,40581,113,2575
4/23/2020,2498,43079,166,2741
4/24/2020,2678,45757,165,2906
4/25/2020,3735,49492,407,3313
4/26/2020,3503,52995,357,3670
4/27/2020,5514,58509,346,4016
4/28/2020,3379,61888,189,4205
4/29/2020,4613,66501,338,4543
4/30/2020,5385,71886,474,5017
5/1/2020,6276,78162,449,5466
5/2/2020,7218,85380,435,5901
5/3/2020,6209,91589,428,6329
5/4/2020,4970,96559,421,6750
5/5/2020,4588,101147,275,7025
5/6/2020,6633,107780,296,7321
5/7/2020,6935,114715,600,7921
5/8/2020,10503,125218,615,8536
5/9/2020,9888,135106,610,9146
5/10/2020,10222,145328,751,9897
5/11/2020,10611,155939,730,10627
5/12/2020,6760,162699,496,11123
5/13/2020,5632,168331,396,11519
5/14/2020,9258,177589,881,12400
5/15/2020,11385,188974,749,13149
5/16/2020,13944,202918,844,13993
5/17/2020,15305,218223,824,14817
5/18/2020,14919,233142,816,15633
5/19/2020,7938,241080,485,16118
5/20/2020,13140,254220,674,16792
5/21/2020,17408,271628,1179,17971
5/22/2020,19951,291579,888,18859
5/23/2020,18508,310087,1188,20047
5/24/2020,20803,330890,1001,21048
5/25/2020,16508,347398,965,22013
5/26/2020,15813,363211,653,22666
5/27/2020,11687,374898,807,23473
5/28/2020,16324,391222,1039,24512
5/29/2020,20599,411821,1086,25598
5/30/2020,26417,438238,1156,26754
5/31/2020,26928,465166,1124,27878
6/1/2020,33274,498440,956,28834
6/2/2020,16409,514849,480,29314
6/3/2020,11598,526447,623,29937
6/4/2020,28936,555383,1262,31199
6/5/2020,28633,584016,1349,32548
6/6/2020,30925,614941,1473,34021
6/7/2020,30830,645771,1005,35026
6/8/2020,27075,672846,904,35930
6/9/2020,18912,691758,525,36455
6/10/2020,15654,707412,679,37134
6/11/2020,32091,739503,1272,38406
6/12/2020,32913,772416,1274,39680
6/13/2020,30412,802828,1239,40919
6/14/2020,25982,828810,909,41828
6/15/2020,21704,850514,892,42720
6/16/2020,17110,867624,612,43332
6/17/2020,20647,888271,627,43959
6/18/2020,34918,923189,1282,45241
6/19/2020,32188,955377,1269,46510
6/20/2020,22765,978142,1238,47748
6/21/2020,54771,1032913,1206,48954
6/22/2020,34666,1067579,1022,49976
6/23/2020,17459,1085038,641,50617
6/24/2020,21432,1106470,654,51271
6/25/2020,39436,1145906,1374,52645
6/26/2020,42725,1188631,1185,53830
6/27/2020,39483,1228114,1141,54971
6/28/2020,46860,1274974,990,55961
6/29/2020,38693,1313667,1109,57070
6/30/2020,30476,1344143,552,57622
7/1/2020,24052,1368195,692,58314
7/2/2020,33846,1402041,1280,59594
7/3/2020,46712,1448753,1038,60632
7/4/2020,48105,1496858,1252,61884
7/5/2020,42223,1539081,1290,63174
7/6/2020,37923,1577004,1091,64265
7/7/2020,26051,1603055,602,64867
7/8/2020,20229,1623284,620,65487
7/9/2020,45305,1668589,1254,66741
7/10/2020,44571,1713160,1223,67964
7/11/2020,42619,1755779,1220,69184
7/12/2020,45048,1800827,1214,70398
