Date ,Cases,Death,Cummulative cases ,Cummulative death 
17-05-2020,14919,816,233142,15633
16-05-2020,15305,824,218223,14817
15-05-2020,13944,844,202918,13993
14-05-2020,11385,749,188974,13149
13-05-2020,9258,881,177589,12400
5/12/2020,5632,396,168331,11519
5/11/2020,6760,496,162699,11123
5/10/2020,10611,730,155939,10627
5/9/2020,10222,751,145328,9897
5/8/2020,9888,610,135106,9146
5/7/2020,10503,615,125218,8536
5/6/2020,6935,600,114715,7921
5/5/2020,6633,296,107780,7321
5/4/2020,4588,275,101147,7025
5/3/2020,4970,421,96559,6750
5/2/2020,6209,428,91589,6329
5/1/2020,7218,435,85380,5901
30-04-2020,6276,449,78162,5466
29-04-2020,5385,474,71886,5017
28-04-2020,4613,338,66501,4543
27-04-2020,3379,189,61888,4205
26-04-2020,5514,346,58509,4016
25-04-2020,3503,357,52995,3670
24-04-2020,3735,407,49492,3313
23-04-2020,2678,165,45757,2906
22-04-2020,2498,166,43079,2741
21-04-2020,1927,113,40581,2575
20-04-2020,2055,115,38654,2462
19-04-2020,2917,206,36599,2347
18-04-2020,3257,217,33682,2141
17-04-2020,2105,188,30425,1924
16-04-2020,3058,204,28320,1736
15-04-2020,1832,204,25262,1532
14-04-2020,1261,105,23430,1328
13-04-2020,1442,99,22169,1223
4/12/2020,1089,68,20727,1124
4/11/2020,1781,115,19638,1056
4/10/2020,1930,141,17857,941
4/9/2020,2210,133,15927,800
4/8/2020,1661,114,13717,667
4/7/2020,926,67,12056,553
4/6/2020,852,54,11130,486
4/5/2020,1222,73,10278,432
4/4/2020,1146,60,9056,359
4/3/2020,1074,58,7910,299
4/2/2020,1119,40,6836,241
4/1/2020,1138,42,5717,201
31-03-2020,323,23,4579,159
30-03-2020,352,22,4256,136
29-03-2020,487,22,3904,114
28-03-2020,502,15,3417,92
27-03-2020,482,20,2915,77
26-03-2020,232,11,2433,57
25-03-2020,310,12,2201,46
24-03-2020,345,9,1891,34
23-03-2020,418,7,1546,25
22-03-2020,224,7,1128,18
21-03-2020,283,5,904,11
20-03-2020,193,2,621,6
19-03-2020,137,3,428,4
18-03-2020,57,1,291,1
17-03-2020,34,0,234,0
16-03-2020,79,0,200,0
15-03-2020,23,0,121,0
14-03-2020,21,0,98,0
13-03-2020,25,0,77,0
3/12/2020,18,0,52,0
3/11/2020,9,0,34,0
3/10/2020,0,0,25,0
3/9/2020,12,0,25,0
3/8/2020,0,0,13,0
3/7/2020,5,0,13,0
3/6/2020,5,0,8,0
3/5/2020,1,0,3,0
3/4/2020,0,0,2,0
3/3/2020,0,0,2,0
3/2/2020,0,0,2,0
3/1/2020,1,0,2,0
29-02-2020,0,0,1,0
28-02-2020,0,0,1,0
27-02-2020,0,0,1,0
26-02-2020,1,0,1,0
25-02-2020,0,0,0,0
24-02-2020,0,0,0,0
23-02-2020,0,0,0,0
22-02-2020,0,0,0,0
21-02-2020,0,0,0,0
20-02-2020,0,0,0,0
19-02-2020,0,0,0,0
18-02-2020,0,0,0,0
17-02-2020,0,0,0,0
16-02-2020,0,0,0,0
15-02-2020,0,0,0,0
14-02-2020,0,0,0,0
13-02-2020,0,0,0,0
2/12/2020,0,0,0,0
2/11/2020,0,0,0,0
2/10/2020,0,0,0,0
2/9/2020,0,0,0,0
2/8/2020,0,0,0,0
2/7/2020,0,0,0,0
2/6/2020,0,0,0,0
2/5/2020,0,0,0,0
2/4/2020,0,0,0,0
2/3/2020,0,0,0,0
2/2/2020,0,0,0,0
2/1/2020,0,0,0,0
31-01-2020,0,0,0,0
30-01-2020,0,0,0,0
29-01-2020,0,0,0,0
28-01-2020,0,0,0,0
27-01-2020,0,0,0,0
26-01-2020,0,0,0,0
25-01-2020,0,0,0,0
24-01-2020,0,0,0,0
23-01-2020,0,0,0,0
22-01-2020,0,0,0,0
21-01-2020,0,0,0,0
20-01-2020,0,0,0,0
19-01-2020,0,0,0,0
18-01-2020,0,0,0,0
17-01-2020,0,0,0,0
16-01-2020,0,0,0,0
15-01-2020,0,0,0,0
14-01-2020,0,0,0,0
13-01-2020,0,0,0,0
1/12/2020,0,0,0,0
1/11/2020,0,0,0,0
1/10/2020,0,0,0,0
1/9/2020,0,0,0,0
1/8/2020,0,0,0,0
1/7/2020,0,0,0,0
1/6/2020,0,0,0,0
1/5/2020,0,0,0,0
1/4/2020,0,0,0,0
1/3/2020,0,0,0,0
1/2/2020,0,0,0,0
1/1/2020,0,0,0,0
