Date ,Cases,Death,Cummulative cases ,Cummulative death 
23-05-2020,18508,1188,310087,20047
22-05-2020,19951,888,291579,18859
21-05-2020,17408,1179,271628,17971
20-05-2020,13140,674,254220,16792
19-05-2020,7938,485,241080,16118
18-05-2020,14919,816,233142,15633
17-05-2020,15305,824,218223,14817
16-05-2020,13944,844,202918,13993
15-05-2020,11385,749,188974,13149
14-05-2020,9258,881,177589,12400
13-05-2020,5632,396,168331,11519
5/12/2020,6760,496,162699,11123
5/11/2020,10611,730,155939,10627
5/10/2020,10222,751,145328,9897
5/9/2020,9888,610,135106,9146
5/8/2020,10503,615,125218,8536
5/7/2020,6935,600,114715,7921
5/6/2020,6633,296,107780,7321
5/5/2020,4588,275,101147,7025
5/4/2020,4970,421,96559,6750
5/3/2020,6209,428,91589,6329
5/2/2020,7218,435,85380,5901
5/1/2020,6276,449,78162,5466
30-04-2020,5385,474,71886,5017
29-04-2020,4613,338,66501,4543
28-04-2020,3379,189,61888,4205
27-04-2020,5514,346,58509,4016
26-04-2020,3503,357,52995,3670
25-04-2020,3735,407,49492,3313
24-04-2020,2678,165,45757,2906
23-04-2020,2498,166,43079,2741
22-04-2020,1927,113,40581,2575
21-04-2020,2055,115,38654,2462
20-04-2020,2917,206,36599,2347
19-04-2020,3257,217,33682,2141
18-04-2020,2105,188,30425,1924
17-04-2020,3058,204,28320,1736
16-04-2020,1832,204,25262,1532
15-04-2020,1261,105,23430,1328
14-04-2020,1442,99,22169,1223
13-04-2020,1089,68,20727,1124
4/12/2020,1781,115,19638,1056
4/11/2020,1930,141,17857,941
4/10/2020,2210,133,15927,800
4/9/2020,1661,114,13717,667
4/8/2020,926,67,12056,553
4/7/2020,852,54,11130,486
4/6/2020,1222,73,10278,432
4/5/2020,1146,60,9056,359
4/4/2020,1074,58,7910,299
4/3/2020,1119,40,6836,241
4/2/2020,1138,42,5717,201
4/1/2020,323,23,4579,159
31-03-2020,352,22,4256,136
30-03-2020,487,22,3904,114
29-03-2020,502,15,3417,92
28-03-2020,482,20,2915,77
27-03-2020,0,0,2433,57
26-03-2020,232,11,2433,57
25-03-2020,0,0,2201,46
24-03-2020,1297,35,2201,46
23-03-2020,0,0,904,11
22-03-2020,0,0,904,11
21-03-2020,283,7,904,11
20-03-2020,193,0,621,4
19-03-2020,137,3,428,4
18-03-2020,57,1,291,1
17-03-2020,34,0,234,0
16-03-2020,79,0,200,0
15-03-2020,0,0,121,0
14-03-2020,23,0,121,0
13-03-2020,46,0,98,0
3/12/2020,18,0,52,0
3/11/2020,9,0,34,0
3/10/2020,0,0,25,0
3/9/2020,6,0,25,0
3/8/2020,0,0,19,0
3/7/2020,11,0,19,0
3/6/2020,1,0,8,0
3/5/2020,4,0,7,0
3/4/2020,1,0,3,0
3/3/2020,0,0,2,0
3/2/2020,0,0,2,0
3/1/2020,1,0,2,0
29-02-2020,0,0,1,0
28-02-2020,0,0,1,0
27-02-2020,0,0,1,0
26-02-2020,1,0,1,0
