Date ,Cases ,Death 
5/12/2020,3604,87
5/11/2020,4213,97
5/10/2020,3277,128
5/9/2020,3320,95
5/8/2020,3390,103
5/7/2020,3561,89
5/6/2020,2958,126
5/5/2020,3900,195
5/4/2020,2553,72
5/3/2020,2644,83
5/2/2020,2293,71
5/1/2020,1993,73
4/30/2020,1718,67
4/29/2020,1897,73
4/28/2020,1543,62
4/27/2020,1396,48
4/26/2020,1990,49
4/25/2020,1429,57
4/24/2020,1684,37
4/23/2020,1409,41
4/22/2020,1384,50
4/21/2020,1335,47
4/20/2020,1553,36
4/19/2020,1334,27
4/18/2020,991,43
4/17/2020,1007,23
4/16/2020,942,37
4/15/2020,1075,38
4/14/2020,1211,31
4/13/2020,796,35
4/12/2020,909,34
4/11/2020,1035,40
4/10/2020,678,33
4/9/2020,540,17
4/8/2020,773,35
4/7/2020,354,5
4/6/2020,693,32
4/5/2020,472,9
4/4/2020,601,12
4/3/2020,336,6
4/2/2020,568,15
4/1/2020,146,3
3/31/2020,180,3
3/30/2020,92,4
3/29/2020,106,6
3/28/2020,149,2
3/27/2020,75,4
3/26/2020,87,4
3/25/2020,70,0
3/24/2020,53,2
3/23/2020,119,3
3/22/2020,89,0
3/21/2020,40,0
3/20/2020,26,1
3/19/2020,28,0
3/18/2020,12,0
3/17/2020,32,1
3/16/2020,3,0
3/15/2020,7,0
3/14/2020,8,1
3/13/2020,2,1
3/12/2020,23,0
3/11/2020,6,0
3/10/2020,10,0
3/8/2020,3,0
3/7/2020,2,0
3/6/2020,1,0
3/5/2020,22,0
3/4/2020,1,0
3/3/2020,2,0
3/2/2020,0,0
3/1/2020,0,0
2/29/2020,0,0
2/28/2020,0,0
2/27/2020,0,0
2/26/2020,0,0
2/25/2020,0,0
2/24/2020,0,0
2/23/2020,0,0
2/22/2020,0,0
2/21/2020,0,0
2/20/2020,0,0
2/19/2020,0,0
2/18/2020,0,0
2/17/2020,0,0
2/16/2020,0,0
2/15/2020,0,0
2/14/2020,0,0
2/13/2020,0,0
2/12/2020,0,0
2/11/2020,0,0
2/10/2020,0,0
2/9/2020,0,0
2/8/2020,0,0
2/7/2020,0,0
2/6/2020,0,0
2/5/2020,0,0
2/4/2020,1,0
2/3/2020,0,0
2/2/2020,1,0
2/1/2020,0,0
1/31/2020,0,0
1/30/2020,1,0
1/29/2020,0,0
1/28/2020,0,0
1/27/2020,0,0
1/26/2020,0,0
1/25/2020,0,0
1/24/2020,0,0
1/23/2020,0,0
1/22/2020,0,0
1/21/2020,0,0
1/20/2020,0,0
1/19/2020,0,0
1/18/2020,0,0
1/17/2020,0,0
1/16/2020,0,0
1/15/2020,0,0
1/14/2020,0,0
1/13/2020,0,0
1/12/2020,0,0
1/11/2020,0,0
1/10/2020,0,0
1/9/2020,0,0
1/8/2020,0,0
1/7/2020,0,0
1/6/2020,0,0
1/5/2020,0,0
1/4/2020,0,0
1/3/2020,0,0
1/2/2020,0,0
1/1/2020,0,0
