Date ,Cases,Death,Cummulative cases ,Cummulative death 
17-05-2020,4987,120,90927,2872
16-05-2020,3970,103,85940,2752
15-05-2020,3967,100,81970,2649
14-05-2020,3722,134,78003,2549
13-05-2020,3525,122,74281,2415
5/12/2020,3604,87,70756,2293
5/11/2020,4213,97,67152,2206
5/10/2020,3277,128,62939,2109
5/9/2020,3320,95,59662,1981
5/8/2020,3390,103,56342,1886
5/7/2020,3561,89,52952,1783
5/6/2020,2958,126,49391,1694
5/5/2020,3900,195,46433,1568
5/4/2020,2553,72,42533,1373
5/3/2020,2644,83,39980,1301
5/2/2020,2293,71,37336,1218
5/1/2020,1993,73,35043,1147
30-04-2020,1718,67,33050,1074
29-04-2020,1897,73,31332,1007
28-04-2020,1543,62,29435,934
27-04-2020,1396,48,27892,872
26-04-2020,1990,49,26496,824
25-04-2020,1429,57,24506,775
24-04-2020,1684,37,23077,718
23-04-2020,1409,41,21393,681
22-04-2020,1384,50,19984,640
21-04-2020,1335,47,18600,590
20-04-2020,1553,36,17265,543
19-04-2020,1334,27,15712,507
18-04-2020,991,43,14378,480
17-04-2020,1007,23,13387,437
16-04-2020,942,37,12380,414
15-04-2020,1075,38,11438,377
14-04-2020,1211,31,10363,339
13-04-2020,796,35,9152,308
4/12/2020,909,34,8356,273
4/11/2020,1035,40,7447,239
4/10/2020,678,33,6412,199
4/9/2020,540,17,5734,166
4/8/2020,773,35,5194,149
4/7/2020,354,5,4421,114
4/6/2020,693,32,4067,109
4/5/2020,472,9,3374,77
4/4/2020,601,12,2902,68
4/3/2020,336,6,2301,56
4/2/2020,568,15,1965,50
4/1/2020,146,3,1397,35
31-03-2020,180,3,1251,32
30-03-2020,92,4,1071,29
29-03-2020,106,6,979,25
28-03-2020,149,2,873,19
27-03-2020,75,4,724,17
26-03-2020,87,4,649,13
25-03-2020,70,0,562,9
24-03-2020,53,2,492,9
23-03-2020,119,3,439,7
22-03-2020,89,0,320,4
21-03-2020,40,0,231,4
20-03-2020,26,1,191,4
19-03-2020,28,0,165,3
18-03-2020,12,0,137,3
17-03-2020,32,1,125,3
16-03-2020,3,0,93,2
15-03-2020,7,0,90,2
14-03-2020,8,1,83,2
13-03-2020,2,1,75,1
3/12/2020,23,0,73,0
3/11/2020,6,0,50,0
3/10/2020,10,0,44,0
3/8/2020,3,0,34,0
3/7/2020,2,0,31,0
3/6/2020,1,0,29,0
3/5/2020,22,0,28,0
3/4/2020,1,0,6,0
3/3/2020,2,0,5,0
3/2/2020,0,0,3,0
3/1/2020,0,0,3,0
29-02-2020,0,0,3,0
28-02-2020,0,0,3,0
27-02-2020,0,0,3,0
26-02-2020,0,0,3,0
25-02-2020,0,0,3,0
24-02-2020,0,0,3,0
23-02-2020,0,0,3,0
22-02-2020,0,0,3,0
21-02-2020,0,0,3,0
20-02-2020,0,0,3,0
19-02-2020,0,0,3,0
18-02-2020,0,0,3,0
17-02-2020,0,0,3,0
16-02-2020,0,0,3,0
15-02-2020,0,0,3,0
14-02-2020,0,0,3,0
13-02-2020,0,0,3,0
2/12/2020,0,0,3,0
2/11/2020,0,0,3,0
2/10/2020,0,0,3,0
2/9/2020,0,0,3,0
2/8/2020,0,0,3,0
2/7/2020,0,0,3,0
2/6/2020,0,0,3,0
2/5/2020,0,0,3,0
2/4/2020,1,0,3,0
2/3/2020,0,0,2,0
2/2/2020,1,0,2,0
2/1/2020,0,0,1,0
31-01-2020,0,0,1,0
30-01-2020,1,0,1,0
29-01-2020,0,0,0,0
28-01-2020,0,0,0,0
27-01-2020,0,0,0,0
26-01-2020,0,0,0,0
25-01-2020,0,0,0,0
24-01-2020,0,0,0,0
23-01-2020,0,0,0,0
22-01-2020,0,0,0,0
21-01-2020,0,0,0,0
20-01-2020,0,0,0,0
19-01-2020,0,0,0,0
18-01-2020,0,0,0,0
17-01-2020,0,0,0,0
16-01-2020,0,0,0,0
15-01-2020,0,0,0,0
14-01-2020,0,0,0,0
13-01-2020,0,0,0,0
1/12/2020,0,0,0,0
1/11/2020,0,0,0,0
1/10/2020,0,0,0,0
1/9/2020,0,0,0,0
1/8/2020,0,0,0,0
1/7/2020,0,0,0,0
1/6/2020,0,0,0,0
1/5/2020,0,0,0,0
1/4/2020,0,0,0,0
1/3/2020,0,0,0,0
1/2/2020,0,0,0,0
1/1/2020,0,0,0,0
