Date ,Cases,Death,Cummulative cases ,Cummulative death 
23-05-2020,6654,137,125101,3720
22-05-2020,6088,148,118447,3583
21-05-2020,5609,132,112359,3435
20-05-2020,5611,140,106750,3303
19-05-2020,4970,134,101139,3163
18-05-2020,5242,157,96169,3029
17-05-2020,4987,120,90927,2872
16-05-2020,3970,103,85940,2752
15-05-2020,3967,100,81970,2649
14-05-2020,3722,134,78003,2549
13-05-2020,3525,122,74281,2415
5/12/2020,3604,87,70756,2293
5/11/2020,4213,97,67152,2206
5/10/2020,3277,128,62939,2109
5/9/2020,3320,95,59662,1981
5/8/2020,3390,103,56342,1886
5/7/2020,3561,89,52952,1783
5/6/2020,2958,126,49391,1694
5/5/2020,3900,195,46433,1568
5/4/2020,2553,72,42533,1373
5/3/2020,2644,83,39980,1301
5/2/2020,2293,71,37336,1218
5/1/2020,1993,73,35043,1147
30-04-2020,1718,67,33050,1074
29-04-2020,1897,73,31332,1007
28-04-2020,1543,62,29435,934
27-04-2020,1396,48,27892,872
26-04-2020,1990,49,26496,824
25-04-2020,1429,57,24506,775
24-04-2020,1684,37,23077,718
23-04-2020,1409,41,21393,681
22-04-2020,1383,50,19984,640
21-04-2020,1336,47,18601,590
20-04-2020,1553,36,17265,543
19-04-2020,1334,27,15712,507
18-04-2020,991,43,14378,480
17-04-2020,1007,23,13387,437
16-04-2020,941,37,12380,414
15-04-2020,1076,38,11439,377
14-04-2020,1211,31,10363,339
13-04-2020,796,35,9152,308
4/12/2020,909,34,8356,273
4/11/2020,1035,40,7447,239
4/10/2020,547,30,6412,199
4/9/2020,591,20,5865,169
4/8/2020,853,35,5274,149
4/7/2020,354,5,4421,114
4/6/2020,693,32,4067,109
4/5/2020,472,9,3374,77
4/4/2020,601,12,2902,68
4/3/2020,336,6,2301,56
4/2/2020,329,12,1965,50
4/1/2020,385,6,1636,38
31-03-2020,180,3,1251,32
30-03-2020,92,4,1071,29
29-03-2020,255,8,979,25
28-03-2020,0,0,724,17
27-03-2020,75,4,724,17
26-03-2020,43,3,649,13
25-03-2020,87,1,606,10
24-03-2020,85,0,519,9
23-03-2020,93,4,434,9
22-03-2020,58,1,341,5
21-03-2020,88,0,283,4
20-03-2020,0,0,195,4
19-03-2020,44,1,195,4
18-03-2020,14,0,151,3
17-03-2020,23,1,137,3
16-03-2020,7,0,114,2
15-03-2020,23,0,107,2
14-03-2020,3,1,84,2
13-03-2020,7,1,81,1
3/12/2020,14,0,74,0
3/11/2020,10,0,60,0
3/10/2020,6,0,50,0
3/9/2020,5,0,44,0
3/8/2020,5,0,39,0
3/7/2020,3,0,34,0
3/6/2020,2,0,31,0
3/5/2020,2,0,29,0
3/4/2020,22,0,27,0
3/3/2020,0,0,5,0
3/2/2020,2,0,5,0
3/1/2020,0,0,3,0
29-02-2020,0,0,3,0
28-02-2020,0,0,3,0
27-02-2020,0,0,3,0
26-02-2020,0,0,3,0
25-02-2020,0,0,3,0
24-02-2020,0,0,3,0
23-02-2020,0,0,3,0
22-02-2020,0,0,3,0
21-02-2020,0,0,3,0
20-02-2020,0,0,3,0
19-02-2020,0,0,3,0
18-02-2020,0,0,3,0
17-02-2020,0,0,3,0
16-02-2020,0,0,3,0
15-02-2020,0,0,3,0
14-02-2020,0,0,3,0
13-02-2020,0,0,3,0
2/12/2020,0,0,3,0
2/11/2020,0,0,3,0
2/10/2020,0,0,3,0
2/9/2020,0,0,3,0
2/8/2020,0,0,3,0
2/7/2020,0,0,3,0
2/6/2020,0,0,3,0
2/5/2020,0,0,3,0
2/4/2020,0,0,3,0
2/3/2020,1,0,3,0
2/2/2020,1,0,2,0
2/1/2020,0,0,1,0
31-01-2020,0,0,1,0
30-01-2020,1,0,1,0
