Date ,Cases,Death,Cummulative cases ,Cummulative death 
17-05-2020,875,153,224760,31763
16-05-2020,789,242,223885,31610
15-05-2020,992,262,223096,31368
14-05-2020,888,195,222104,31106
13-05-2020,1402,172,221216,30911
12/5/2020,744,179,219814,30739
11/5/2020,802,165,219070,30560
10/5/2020,1083,194,218268,30395
9/5/2020,1327,243,217185,30201
8/5/2020,1401,274,215858,29958
7/5/2020,1444,369,214457,29684
6/5/2020,1075,236,213013,29315
5/5/2020,1221,195,211938,29079
4/5/2020,1389,174,210717,28884
3/5/2020,1900,474,209328,28710
2/5/2020,1965,269,207428,28236
1/5/2020,1872,285,205463,27967
30-04-2020,2086,323,203591,27682
29-04-2020,2091,382,201505,27359
28-04-2020,1739,333,199414,26977
27-04-2020,2324,260,197675,26644
26-04-2020,2357,415,195351,26384
25-04-2020,3021,420,192994,25969
24-04-2020,2646,464,189973,25549
23-04-2020,3370,437,187327,25085
22-04-2020,2729,534,183957,24648
21-04-2020,2256,454,181228,24114
20-04-2020,3047,433,178972,23660
19-04-2020,3491,480,175925,23227
18-04-2020,3493,575,172434,22747
17-04-2020,3786,525,168941,22172
16-04-2020,2667,578,165155,21647
15-04-2020,2972,604,162488,21069
14-04-2020,3153,564,159516,20465
13-04-2020,4092,431,156363,19901
12/4/2020,4694,619,152271,19470
11/4/2020,3951,570,147577,18851
10/4/2020,4204,612,143626,18281
9/4/2020,3836,540,139422,17669
8/4/2020,3039,604,135586,17129
7/4/2020,3599,636,132547,16525
6/4/2020,4316,527,128948,15889
5/4/2020,4805,681,124632,15362
4/4/2020,4585,764,119827,14681
3/4/2020,4668,760,115242,13917
2/4/2020,4782,727,110574,13157
1/4/2020,4053,839,105792,12430
31-03-2020,4050,810,101739,11591
30-03-2020,5217,758,97689,10781
29-03-2020,5974,887,92472,10023
28-03-2020,5959,971,86498,9136
27-03-2020,6153,660,80539,8165
26-03-2020,5210,685,74386,7505
25-03-2020,5249,743,69176,6820
24-03-2020,4789,601,63927,6077
23-03-2020,5560,649,59138,5476
22-03-2020,6557,795,53578,4827
21-03-2020,5986,625,47021,4032
20-03-2020,5322,429,41035,3407
19-03-2020,4207,473,35713,2978
18-03-2020,3526,347,31506,2505
17-03-2020,4000,347,27980,2158
16-03-2020,2823,370,23980,1811
15-03-2020,3497,173,21157,1441
14-03-2020,2547,252,17660,1268
13-03-2020,2651,189,15113,1016
12/3/2020,2313,196,12462,827
11/3/2020,977,167,10149,631
10/3/2020,1797,98,9172,464
9/3/2020,1492,133,7375,366
8/3/2020,1247,36,5883,233
7/3/2020,778,49,4636,197
6/3/2020,769,41,3858,148
5/3/2020,587,27,3089,107
4/3/2020,466,28,2502,80
3/3/2020,347,17,2036,52
2/3/2020,561,6,1689,35
1/3/2020,240,8,1128,29
29-02-2020,238,4,888,21
28-02-2020,250,5,650,17
27-02-2020,78,1,400,12
26-02-2020,93,5,322,11
25-02-2020,97,4,229,6
24-02-2020,53,0,132,2
23-02-2020,62,2,79,2
22-02-2020,14,0,17,0
21-02-2020,0,0,3,0
20-02-2020,0,0,3,0
19-02-2020,0,0,3,0
18-02-2020,0,0,3,0
17-02-2020,0,0,3,0
16-02-2020,0,0,3,0
15-02-2020,0,0,3,0
14-02-2020,0,0,3,0
13-02-2020,0,0,3,0
12/2/2020,0,0,3,0
11/2/2020,0,0,3,0
10/2/2020,0,0,3,0
9/2/2020,0,0,3,0
8/2/2020,0,0,3,0
7/2/2020,0,0,3,0
6/2/2020,0,0,3,0
5/2/2020,0,0,3,0
4/2/2020,0,0,3,0
3/2/2020,0,0,3,0
2/2/2020,0,0,3,0
1/2/2020,0,0,3,0
31-01-2020,3,0,3,0
30-01-2020,0,0,0,0
29-01-2020,0,0,0,0
28-01-2020,0,0,0,0
27-01-2020,0,0,0,0
26-01-2020,0,0,0,0
25-01-2020,0,0,0,0
24-01-2020,0,0,0,0
23-01-2020,0,0,0,0
22-01-2020,0,0,0,0
21-01-2020,0,0,0,0
20-01-2020,0,0,0,0
19-01-2020,0,0,0,0
18-01-2020,0,0,0,0
17-01-2020,0,0,0,0
16-01-2020,0,0,0,0
15-01-2020,0,0,0,0
14-01-2020,0,0,0,0
13-01-2020,0,0,0,0
12/1/2020,0,0,0,0
11/1/2020,0,0,0,0
10/1/2020,0,0,0,0
9/1/2020,0,0,0,0
8/1/2020,0,0,0,0
7/1/2020,0,0,0,0
6/1/2020,0,0,0,0
5/1/2020,0,0,0,0
4/1/2020,0,0,0,0
3/1/2020,0,0,0,0
2/1/2020,0,0,0,0
1/1/2020,0,0,0,0
