Date,Cases,Cummulative cases,Death,Cummulative death
1/31/2020,2,2,0,0
2/1/2020,0,2,0,0
2/2/2020,0,2,0,0
2/3/2020,0,2,0,0
2/4/2020,0,2,0,0
2/5/2020,0,2,0,0
2/6/2020,0,2,0,0
2/7/2020,0,2,0,0
2/8/2020,0,2,0,0
2/9/2020,0,2,0,0
2/10/2020,0,2,0,0
2/11/2020,0,2,0,0
2/12/2020,0,2,0,0
2/13/2020,0,2,0,0
2/14/2020,0,2,0,0
2/15/2020,0,2,0,0
2/16/2020,0,2,0,0
2/17/2020,0,2,0,0
2/18/2020,0,2,0,0
2/19/2020,0,2,0,0
2/20/2020,0,2,0,0
2/21/2020,0,2,0,0
2/22/2020,0,2,0,0
2/23/2020,0,2,0,0
2/24/2020,0,2,0,0
2/25/2020,0,2,0,0
2/26/2020,0,2,0,0
2/27/2020,0,2,0,0
2/28/2020,0,2,0,0
2/29/2020,0,2,0,0
3/1/2020,0,2,0,0
3/2/2020,1,3,0,0
3/3/2020,0,3,0,0
3/4/2020,0,3,0,0
3/5/2020,1,4,0,0
3/6/2020,3,7,0,0
3/7/2020,0,7,0,0
3/8/2020,0,7,0,0
3/9/2020,0,7,0,0
3/10/2020,0,7,0,0
3/11/2020,0,7,0,0
3/12/2020,27,34,0,0
3/13/2020,0,34,0,0
3/14/2020,0,34,0,0
3/15/2020,0,34,0,0
3/16/2020,59,93,0,0
3/17/2020,0,93,0,0
3/18/2020,54,147,0,0
3/19/2020,52,199,0,0
3/20/2020,54,253,0,0
3/21/2020,53,306,0,0
3/22/2020,0,306,0,0
3/23/2020,132,438,0,0
3/24/2020,0,438,0,0
3/25/2020,220,658,0,0
3/26/2020,182,840,2,2
3/27/2020,196,1036,1,3
3/28/2020,228,1264,1,4
3/29/2020,270,1534,4,8
3/30/2020,0,1534,1,9
3/31/2020,303,1837,0,9
4/1/2020,500,2337,8,17
4/2/2020,440,2777,7,24
4/3/2020,771,3548,6,30
4/4/2020,601,4149,4,34
4/5/2020,582,4731,9,43
4/6/2020,658,5389,2,45
4/7/2020,954,6343,2,47
4/8/2020,1154,7497,11,58
4/9/2020,2634,10131,18,76
4/10/2020,1786,11917,18,94
4/11/2020,1667,13584,12,106
4/12/2020,2186,15770,24,130
4/13/2020,2558,18328,18,148
4/14/2020,2774,21102,22,170
4/15/2020,3388,24490,28,198
4/16/2020,3448,27938,34,232
4/17/2020,4070,32008,41,273
4/18/2020,4785,36793,40,313
4/19/2020,6060,42853,48,361
4/20/2020,0,42853,0,361
4/21/2020,9910,52763,95,456
4/22/2020,5236,57999,57,513
4/23/2020,4774,62773,42,555
4/24/2020,5849,68622,60,615
4/25/2020,0,68622,0,615
4/26/2020,5966,74588,66,681
4/27/2020,12559,87147,113,794
4/28/2020,6411,93558,73,867
4/29/2020,5841,99399,105,972
4/30/2020,7099,106498,101,1073
5/1/2020,7933,114431,96,1169
5/2/2020,9623,124054,53,1222
5/3/2020,10633,134687,58,1280
5/4/2020,10581,145268,76,1356
5/5/2020,10102,155370,95,1451
5/6/2020,10559,165929,86,1537
5/7/2020,11231,177160,88,1625
5/8/2020,10699,187859,98,1723
5/9/2020,10817,198676,104,1827
5/10/2020,11012,209688,88,1915
5/11/2020,11656,221344,94,2009
5/12/2020,10899,232243,107,2116
5/13/2020,10028,242271,96,2212
5/14/2020,9974,252245,93,2305
5/15/2020,10598,262843,113,2418
5/16/2020,9200,272043,119,2537
5/17/2020,9709,281752,94,2631
5/18/2020,8926,290678,91,2722
5/19/2020,9263,299941,115,2837
5/20/2020,8764,308705,135,2972
5/21/2020,8849,317554,127,3099
5/22/2020,8894,326448,150,3249
5/23/2020,9434,335882,139,3388
5/24/2020,8599,344481,153,3541
5/25/2020,8946,353427,92,3633
5/26/2020,8915,362342,174,3807
5/27/2020,8338,370680,161,3968
5/28/2020,8371,379051,174,4142
5/29/2020,8572,387623,232,4374
5/30/2020,8952,396575,181,4555
5/31/2020,9268,405843,138,4693
6/1/2020,9035,414878,162,4855
6/2/2020,8863,423741,182,5037
6/3/2020,8536,432277,178,5215
6/4/2020,8831,441108,169,5384
6/5/2020,8726,449834,144,5528
6/6/2020,8855,458689,197,5725
6/7/2020,8984,467673,134,5859
6/8/2020,8985,476658,112,5971
6/9/2020,8595,485253,171,6142
6/10/2020,8404,493657,216,6358
6/11/2020,8779,502436,174,6532
6/12/2020,8987,511423,183,6715
6/13/2020,8706,520129,114,6829
6/14/2020,8835,528964,119,6948
6/15/2020,8246,537210,143,7091
6/16/2020,8248,545458,193,7284
6/17/2020,7843,553301,194,7478
6/18/2020,7790,561091,182,7660
6/19/2020,7972,569063,181,7841
6/20/2020,7889,576952,161,8002
6/21/2020,7728,584680,109,8111
6/22/2020,7600,592280,95,8206
6/23/2020,7425,599705,153,8359
6/24/2020,7176,606881,154,8513
6/25/2020,7113,613994,92,8605
6/26/2020,6800,620794,176,8781
6/27/2020,6852,627646,188,8969
6/28/2020,6791,634437,104,9073
6/29/2020,6719,641156,93,9166
6/30/2020,6693,647849,154,9320
7/1/2020,6556,654405,216,9536
7/2/2020,6760,661165,147,9683
7/3/2020,6718,667883,176,9859
7/4/2020,6632,674515,168,10027
7/5/2020,6736,681251,134,10161
7/6/2020,6611,687862,135,10296
7/7/2020,6368,694230,198,10494
7/8/2020,6562,700792,173,10667
7/9/2020,6509,707301,176,10843
7/10/2020,6635,713936,174,11017
7/11/2020,6611,720547,188,11205
