Date ,Cases,Death,Cummulative cases ,Cummulative death 
17-05-2020,9200,119,272043,2537
16-05-2020,10598,113,262843,2418
15-05-2020,9974,93,252245,2305
14-05-2020,10028,96,242271,2212
13-05-2020,10899,107,232243,2116
12-05-2020,11656,94,221344,2009
11-05-2020,11012,88,209688,1915
10-05-2020,10817,104,198676,1827
09-05-2020,10699,98,187859,1723
08-05-2020,11231,88,177160,1625
07-05-2020,10559,86,165929,1537
06-05-2020,10102,95,155370,1451
05-05-2020,10581,76,145268,1356
04-05-2020,10633,58,134687,1280
03-05-2020,9623,53,124054,1222
02-05-2020,7933,96,114431,1169
01-05-2020,7099,101,106498,1073
30-04-2020,5841,105,99399,972
29-04-2020,6411,72,93558,867
28-04-2020,6198,48,87147,795
27-04-2020,6361,66,80949,747
26-04-2020,5966,66,74588,681
25-04-2020,5849,60,68622,615
24-04-2020,4774,42,62773,555
23-04-2020,5236,57,57999,513
22-04-2020,5642,51,52763,456
21-04-2020,4268,44,47121,405
20-04-2020,6060,48,42853,361
19-04-2020,4785,40,36793,313
18-04-2020,4070,41,32008,273
17-04-2020,3448,34,27938,232
16-04-2020,3388,28,24490,198
15-04-2020,2774,22,21102,170
14-04-2020,2558,18,18328,148
13-04-2020,2186,24,15770,130
12-04-2020,1667,12,13584,106
11-04-2020,1786,18,11917,94
10-04-2020,1459,13,10131,76
09-04-2020,1175,5,8672,63
08-04-2020,1154,11,7497,58
07-04-2020,954,2,6343,47
06-04-2020,658,2,5389,45
05-04-2020,582,9,4731,43
04-04-2020,601,4,4149,34
03-04-2020,771,6,3548,30
02-04-2020,440,7,2777,24
01-04-2020,501,7,2337,17
31-03-2020,302,2,1836,10
30-03-2020,270,3,1534,8
29-03-2020,228,1,1264,5
28-03-2020,196,2,1036,4
27-03-2020,182,2,840,2
26-03-2020,163,0,658,0
25-03-2020,57,0,495,0
24-03-2020,0,0,438,0
23-03-2020,132,0,438,0
22-03-2020,53,0,306,0
21-03-2020,54,0,253,0
20-03-2020,52,0,199,0
19-03-2020,33,0,147,0
18-03-2020,21,0,114,0
17-03-2020,30,0,93,0
16-03-2020,4,0,63,0
15-03-2020,14,0,59,0
14-03-2020,15,0,45,0
13-03-2020,5,0,30,0
12-03-2020,15,0,25,0
11-03-2020,0,0,10,0
10-03-2020,0,0,10,0
09-03-2020,0,0,10,0
08-03-2020,0,0,10,0
07-03-2020,6,0,10,0
06-03-2020,0,0,4,0
05-03-2020,0,0,4,0
04-03-2020,1,0,4,0
03-03-2020,1,0,3,0
02-03-2020,0,0,2,0
01-03-2020,0,0,2,0
29-02-2020,0,0,2,0
28-02-2020,0,0,2,0
27-02-2020,0,0,2,0
26-02-2020,0,0,2,0
25-02-2020,0,0,2,0
24-02-2020,0,0,2,0
23-02-2020,0,0,2,0
22-02-2020,0,0,2,0
21-02-2020,0,0,2,0
20-02-2020,0,0,2,0
19-02-2020,0,0,2,0
18-02-2020,0,0,2,0
17-02-2020,0,0,2,0
16-02-2020,0,0,2,0
15-02-2020,0,0,2,0
14-02-2020,0,0,2,0
13-02-2020,0,0,2,0
12-02-2020,0,0,2,0
11-02-2020,0,0,2,0
10-02-2020,0,0,2,0
09-02-2020,0,0,2,0
08-02-2020,0,0,2,0
07-02-2020,0,0,2,0
06-02-2020,0,0,2,0
05-02-2020,0,0,2,0
04-02-2020,0,0,2,0
03-02-2020,0,0,2,0
02-02-2020,0,0,2,0
01-02-2020,2,0,2,0
31-01-2020,0,0,0,0
30-01-2020,0,0,0,0
29-01-2020,0,0,0,0
28-01-2020,0,0,0,0
27-01-2020,0,0,0,0
26-01-2020,0,0,0,0
25-01-2020,0,0,0,0
24-01-2020,0,0,0,0
23-01-2020,0,0,0,0
22-01-2020,0,0,0,0
21-01-2020,0,0,0,0
20-01-2020,0,0,0,0
19-01-2020,0,0,0,0
18-01-2020,0,0,0,0
17-01-2020,0,0,0,0
16-01-2020,0,0,0,0
15-01-2020,0,0,0,0
14-01-2020,0,0,0,0
13-01-2020,0,0,0,0
12-01-2020,0,0,0,0
11-01-2020,0,0,0,0
10-01-2020,0,0,0,0
09-01-2020,0,0,0,0
08-01-2020,0,0,0,0
07-01-2020,0,0,0,0
06-01-2020,0,0,0,0
05-01-2020,0,0,0,0
04-01-2020,0,0,0,0
03-01-2020,0,0,0,0
02-01-2020,0,0,0,0
01-01-2020,0,0,0,0
