Date ,Cases,Death,Cummulative cases ,Cummulative death 
23-05-2020,9434,139,335882,3388
22-05-2020,8894,150,326448,3249
21-05-2020,8849,127,317554,3099
20-05-2020,8764,135,308705,2972
19-05-2020,9263,115,299941,2837
18-05-2020,8926,91,290678,2722
17-05-2020,9709,94,281752,2631
16-05-2020,9200,119,272043,2537
15-05-2020,10598,113,262843,2418
14-05-2020,9974,93,252245,2305
13-05-2020,10028,96,242271,2212
5/12/2020,10899,107,232243,2116
5/11/2020,11656,94,221344,2009
5/10/2020,11012,88,209688,1915
5/9/2020,10817,104,198676,1827
5/8/2020,10699,98,187859,1723
5/7/2020,11231,88,177160,1625
5/6/2020,10559,86,165929,1537
5/5/2020,10102,95,155370,1451
5/4/2020,10581,76,145268,1356
5/3/2020,10633,58,134687,1280
5/2/2020,9623,53,124054,1222
5/1/2020,7933,96,114431,1169
30-04-2020,7099,101,106498,1073
29-04-2020,5841,105,99399,972
28-04-2020,6411,73,93558,867
27-04-2020,12559,113,87147,794
26-04-2020,5966,66,74588,681
25-04-2020,0,0,68622,615
24-04-2020,5849,60,68622,615
23-04-2020,4774,42,62773,555
22-04-2020,5236,57,57999,513
21-04-2020,9910,95,52763,456
20-04-2020,0,0,42853,361
19-04-2020,6060,48,42853,361
18-04-2020,4785,40,36793,313
17-04-2020,4070,41,32008,273
16-04-2020,3448,34,27938,232
15-04-2020,3388,28,24490,198
14-04-2020,2774,22,21102,170
13-04-2020,2558,18,18328,148
4/12/2020,2186,24,15770,130
4/11/2020,1667,12,13584,106
4/10/2020,1786,18,11917,94
4/9/2020,2634,18,10131,76
4/8/2020,1154,11,7497,58
4/7/2020,954,2,6343,47
4/6/2020,658,2,5389,45
4/5/2020,582,9,4731,43
4/4/2020,601,4,4149,34
4/3/2020,771,6,3548,30
4/2/2020,440,7,2777,24
4/1/2020,500,8,2337,17
31-03-2020,303,0,1837,9
30-03-2020,0,1,1534,9
29-03-2020,270,4,1534,8
28-03-2020,228,1,1264,4
27-03-2020,196,1,1036,3
26-03-2020,182,2,840,2
25-03-2020,220,0,658,0
24-03-2020,0,0,438,0
23-03-2020,132,0,438,0
22-03-2020,0,0,306,0
21-03-2020,53,0,306,0
20-03-2020,54,0,253,0
19-03-2020,52,0,199,0
18-03-2020,54,0,147,0
17-03-2020,0,0,93,0
16-03-2020,59,0,93,0
15-03-2020,0,0,34,0
14-03-2020,0,0,34,0
13-03-2020,0,0,34,0
3/12/2020,27,0,34,0
3/11/2020,0,0,7,0
3/10/2020,0,0,7,0
3/9/2020,0,0,7,0
3/8/2020,0,0,7,0
3/7/2020,0,0,7,0
3/6/2020,3,0,7,0
3/5/2020,1,0,4,0
3/4/2020,0,0,3,0
3/3/2020,0,0,3,0
3/2/2020,1,0,3,0
3/1/2020,0,0,2,0
29-02-2020,0,0,2,0
28-02-2020,0,0,2,0
27-02-2020,0,0,2,0
26-02-2020,0,0,2,0
25-02-2020,0,0,2,0
24-02-2020,0,0,2,0
23-02-2020,0,0,2,0
22-02-2020,0,0,2,0
21-02-2020,0,0,2,0
20-02-2020,0,0,2,0
19-02-2020,0,0,2,0
18-02-2020,0,0,2,0
17-02-2020,0,0,2,0
16-02-2020,0,0,2,0
15-02-2020,0,0,2,0
14-02-2020,0,0,2,0
13-02-2020,0,0,2,0
2/12/2020,0,0,2,0
2/11/2020,0,0,2,0
2/10/2020,0,0,2,0
2/9/2020,0,0,2,0
2/8/2020,0,0,2,0
2/7/2020,0,0,2,0
2/6/2020,0,0,2,0
2/5/2020,0,0,2,0
2/4/2020,0,0,2,0
2/3/2020,0,0,2,0
2/2/2020,0,0,2,0
2/1/2020,0,0,2,0
31-01-2020,2,0,2,0
