Date,Cases ,Death
5/12/2020,18117,1156
5/11/2020,20258,734
5/10/2020,25612,1614
5/9/2020,26957,1510
5/8/2020,28369,2239
5/7/2020,24128,2353
5/6/2020,23841,2144
5/5/2020,22593,1252
5/4/2020,24972,1297
5/3/2020,29288,1317
5/2/2020,33955,2062
5/1/2020,29917,2040
4/30/2020,27326,2611
4/29/2020,24132,2110
4/28/2020,22541,1369
4/27/2020,26857,1687
4/26/2020,48529,2172
4/25/2020,21352,1054
4/24/2020,26543,3179
4/23/2020,17588,1721
4/22/2020,37289,2524
4/21/2020,28065,1857
4/20/2020,24601,1772
4/19/2020,32922,1856
4/18/2020,30833,3770
4/17/2020,31667,2299
4/16/2020,30148,4928
4/15/2020,26922,2408
4/14/2020,25023,1541
4/13/2020,27620,1500
4/12/2020,28391,1831
4/11/2020,35527,2087
4/10/2020,33901,1873
4/9/2020,33323,1922
4/8/2020,30613,1906
4/7/2020,30561,1342
4/6/2020,25398,1146
4/5/2020,34272,1344
4/4/2020,32425,1104
4/3/2020,28819,915
4/2/2020,27103,1059
4/1/2020,24998,909
3/31/2020,21595,661
3/30/2020,18360,318
3/29/2020,19979,484
3/28/2020,18695,411
3/27/2020,16797,246
3/26/2020,13963,249
3/25/2020,8789,211
3/24/2020,11236,119
3/23/2020,8459,131
3/22/2020,7123,80
3/21/2020,5374,110
3/20/2020,4835,0
3/19/2020,2988,42
3/18/2020,1766,23
3/17/2020,887,16
3/16/2020,823,12
3/15/2020,777,10
3/14/2020,511,7
3/13/2020,351,10
3/12/2020,287,2
3/11/2020,271,2
3/10/2020,200,5
3/9/2020,121,4
3/8/2020,95,3
3/7/2020,105,2
3/6/2020,74,1
3/5/2020,34,2
3/4/2020,22,3
3/3/2020,14,4
3/2/2020,20,1
3/1/2020,3,1
2/29/2020,6,0
2/28/2020,1,0
2/27/2020,6,0
2/26/2020,0,0
2/25/2020,18,0
2/24/2020,0,0
2/23/2020,0,0
2/22/2020,19,0
2/21/2020,1,0
2/20/2020,0,0
2/19/2020,0,0
2/18/2020,0,0
2/17/2020,0,0
2/16/2020,0,0
2/15/2020,0,0
2/14/2020,1,0
2/13/2020,1,0
2/12/2020,0,0
2/11/2020,1,0
2/10/2020,0,0
2/9/2020,0,0
2/8/2020,0,0
2/7/2020,0,0
2/6/2020,1,0
2/5/2020,0,0
2/4/2020,0,0
2/3/2020,3,0
2/2/2020,1,0
2/1/2020,1,0
1/31/2020,1,0
1/30/2020,0,0
1/29/2020,0,0
1/28/2020,0,0
1/27/2020,3,0
1/26/2020,0,0
1/25/2020,1,0
1/24/2020,0,0
1/23/2020,0,0
1/22/2020,0,0
1/21/2020,1,0
1/20/2020,0,0
1/19/2020,0,0
1/18/2020,0,0
1/17/2020,0,0
1/16/2020,0,0
1/15/2020,0,0
1/14/2020,0,0
1/13/2020,0,0
1/12/2020,0,0
1/11/2020,0,0
1/10/2020,0,0
1/9/2020,0,0
1/8/2020,0,0
1/7/2020,0,0
1/6/2020,0,0
1/5/2020,0,0
1/4/2020,0,0
1/3/2020,0,0
1/2/2020,0,0
1/1/2020,0,0
